ell,Dl_TT_muK2,Dl_EE_muK2,Dl_TE_muK2,Cl_TT,Cl_EE,Cl_TE,Cl_BB
1618,117.28850472487473,1.2779632302536883,3.599434163951643,1.032199788147747e-16,1.1246740493646244e-18,3.167689101500409e-18,0.0
1619,117.19471292918688,1.2770156080574229,3.5966604795525283,1.0301010699153645e-16,1.1224526356862317e-18,3.1613404013780134e-18,0.0
1620,117.10248440229891,1.2760848168805257,3.59393448209627,1.0280204680139044e-16,1.1202506226667227e-18,3.1550468183093344e-18,0.0
1621,117.0118130456006,1.2751707935801018,3.5912559890990585,1.0259578667453483e-16,1.1180678882460939e-18,3.1488080028951007e-18,0.0
1622,116.92269273277202,1.2742734746882407,3.588624817193871,1.0239131506567289e-16,1.1159043105929338e-18,3.1426236064335893e-18,0.0
1623,116.83511730990223,1.2733927964132876,3.586040782134092,1.0218862045405387e-16,1.1137597681050563e-18,3.136493280922147e-18,0.0
1624,116.74908059560418,1.2725286946410774,3.583503698797015,1.0198769134350971e-16,1.1116341394100885e-18,3.1304166790585937e-18,0.0
1625,116.66457638112749,1.271681104936138,3.581013381187275,1.0178851626248946e-16,1.1095273033660305e-18,3.1243934542425382e-18,0.0
1626,116.58159843046667,1.2708499625428569,3.578569642440151,1.0159108376408925e-16,1.1074391390617705e-18,3.1184232605765707e-18,0.0
1627,116.50014048046755,1.2700352023866148,3.5761722948248,1.013953824260801e-16,1.1053695258175712e-18,3.112505752867379e-18,0.0
1628,116.42019624092987,1.2692367590748892,3.573821149747389,1.0120140085093197e-16,1.1033183431855182e-18,3.106640586626753e-18,0.0
1629,116.34175939470708,1.2684545668983223,3.5715160177541354,1.0100912766583492e-16,1.1012854709499347e-18,3.100827418072502e-18,0.0
1630,116.26482359780323,1.267688559831757,3.5692567085342515,1.0081855152271725e-16,1.0992707891277623e-18,3.0950659041292668e-18,0.0
1631,116.18938247946714,1.2669386715352484,3.5670430309228194,1.0062966109826103e-16,1.0972741779689145e-18,3.0893557024292688e-18,0.0
1632,116.1154296422834,1.2662048353550353,3.564874792903561,1.0044244509391434e-16,1.0952955179565915e-18,3.0836964713129393e-18,0.0
1633,116.04295866226107,1.265486984324492,3.5627518016115403,1.0025689223590115e-16,1.0933346898075721e-18,3.0780878698294907e-18,0.0
1634,115.97196308891938,1.2647850511650456,3.5606738633357717,1.0007299127522843e-16,1.0913915744724705e-18,3.072529557737392e-18,0.0
1635,115.90243644537081,1.264098968287063,3.55864078352175,9.989073098769052e-17,1.0894660531359647e-18,3.067021195504758e-18,0.0
1636,115.8343722284021,1.2634286677907207,3.5566523667739234,9.97101001738714e-17,1.087558007217004e-18,3.061562444309685e-18,0.0
1637,115.76776390855186,1.262774081466833,3.5547084168580447,9.953108765914384e-17,1.0856673183689757e-18,3.056152966040477e-18,0.0
1638,115.70260493018678,1.2621351407976682,3.5528087367035064,9.935368229366706e-17,1.0837938684798619e-18,3.0507924232958323e-18,0.0
1639,115.63888871157467,1.2615117769577302,3.5509531284055558,9.917787295238129e-17,1.0819375396723567e-18,3.045480479384931e-18,0.0
1640,115.57660864495563,1.2609039208145187,3.54914139322746,9.90036485350007e-17,1.0800982143039666e-18,3.0402167983274715e-18,0.0
1641,115.51575809661094,1.260311502929265,3.547373331602613,9.883099796600393e-17,1.0782757749670857e-18,3.0350010448536395e-18,0.0
1642,115.4563304069298,1.2597344535576467,3.545648743136557,9.865991019462272e-17,1.0764701044890463e-18,3.029832884404003e-18,0.0
1643,115.39831889047353,1.2591727026504738,3.543967426608944,9.849037419482827e-17,1.074681085932148e-18,3.0247119831293514e-18,0.0
1644,115.34171683603873,1.2586261798543608,3.542329179975451,9.83223789653161e-17,1.0729086025936655e-18,3.019638007890479e-18,0.0
1645,115.28651750671739,1.2580948145123725,3.5407338003696185,9.815591352948885e-17,1.0711525380058376e-18,3.014610626257909e-18,0.0
1646,115.23271413995592,1.2575785356646512,3.5391810841046394,9.799096693543734e-17,1.0694127759358326e-18,3.0096295065115584e-18,0.0
1647,115.18029994761164,1.2570772720490195,3.5376708266750803,9.782752825591976e-17,1.067689200385695e-18,3.0046943176403468e-18,0.0
1648,115.12926811600853,1.2565909521015788,3.536202822758579,9.76655865883399e-17,1.065981695592282e-18,2.9998047293417782e-18,0.0
1649,115.07961180599011,1.2561195039572686,3.5347768662174532,9.7505131054723e-17,1.0642901460271689e-18,2.9949604120214427e-18,0.0
